ipo_id,company_name,nse_symbol_approx,exchange,year,open_date_approx,close_date_approx,listing_date,issue_price_inr,listing_open_inr_approx,listing_return_pct_approx,issue_size_type,sebi_nii_regime,timeline_regime,source_issue_price,source_listing_price,data_quality_issue_price,data_quality_listing_price,notes
1,Bandhan Bank Ltd,BANDHANBNK,NSE+BSE,2018,2018-03-15,2018-03-19,2018-03-27,375,485,+29.3,Book-built,PRE_2022,T6,Named news (Economic Times; Mint),Named news (multiple),SECONDARY_VERIFIED,SECONDARY_VERIFIED,Strong debut; premium private bank
2,Hindustan Aeronautics Ltd,HAL,NSE+BSE,2018,2018-03-16,2018-03-20,2018-03-28,1215,1169,-3.8,Book-built (PSU),PRE_2022,T6,Named news (multiple),Named news (multiple),SECONDARY_VERIFIED,SECONDARY_VERIFIED,PSU defence; weak debut below issue
3,ICICI Securities Ltd,ISEC,NSE+BSE,2018,2018-03-22,2018-03-26,2018-04-04,520,431,-17.1,Book-built,PRE_2022,T6,Named news (ET; Mint),Named news (multiple),SECONDARY_VERIFIED,SECONDARY_VERIFIED,Brokerage arm of ICICI Bank; weak debut
4,RITES Ltd,RITES,NSE+BSE,2018,2018-06-20,2018-06-22,2018-07-02,185,205,+10.8,Book-built (PSU OFS),PRE_2022,T6,Named news (ET),Named news (ET),SECONDARY_VERIFIED,SECONDARY_VERIFIED,Government OFS; positive debut
5,Happiest Minds Technologies,HAPPSTMNDS,NSE+BSE,2020,,2020-09-12,2020-09-17,166,351,+111.5,Book-built,PRE_2022,T6,Named news (multiple),Named news (multiple),SECONDARY_VERIFIED,SECONDARY_VERIFIED,IT services; strongest debut of 2020 early period
6,Route Mobile Ltd,ROUTE,NSE+BSE,2020,,2020-09-18,2020-09-21,350,680,+94.3,Book-built,PRE_2022,T6,Named news,Named news,SECONDARY_VERIFIED,SECONDARY_VERIFIED,Cloud communications
7,Chemcon Speciality Chemicals,CHEMCON,NSE+BSE,2020,,2020-09-25,2020-10-01,340,731,+115.0,Book-built,PRE_2022,T6,Named news,Named news,SECONDARY_VERIFIED,SECONDARY_VERIFIED,
8,Mazagon Dock Shipbuilders,MAZDOCK,NSE+BSE,2020,,2020-10-07,2020-10-12,145,215,+48.3,Book-built (PSU),PRE_2022,T6,Named news (multiple),Named news (multiple),SECONDARY_VERIFIED,SECONDARY_VERIFIED,PSU defence shipyard
9,Gland Pharma Ltd,GLAND,NSE+BSE,2020,,2020-11-13,2020-11-20,1500,1701,+13.4,Book-built,PRE_2022,T6,Named news,Named news,SECONDARY_VERIFIED,SECONDARY_VERIFIED,Pharma injectables; China PE-backed
10,Burger King India Ltd,BURGERKING,NSE+BSE,2020,,2020-12-09,2020-12-14,60,112,+86.7,Book-built,PRE_2022,T6,Named news (multiple),Named news (multiple),SECONDARY_VERIFIED,SECONDARY_VERIFIED,QSR franchise; strong debut
11,Mrs. Bectors Food Specialities,MRSBECTORS,NSE+BSE,2020,,2020-12-17,2020-12-24,288,501,+74.0,Book-built,PRE_2022,T6,Named news,Named news,SECONDARY_VERIFIED,SECONDARY_VERIFIED,
12,Zomato Ltd,ZOMATO,NSE+BSE,2021,,2021-07-16,2021-07-23,76,126,+65.8,Book-built,PRE_2022,T6,Named news (multiple),Named news (multiple),SECONDARY_VERIFIED,SECONDARY_VERIFIED,Largest tech IPO at that time; retail sub ~7.5x QIB ~51.8x
13,Paras Defence and Space Technologies,PARAS,NSE+BSE,2021,,2021-09-27,2021-10-01,175,493,+181.4,Book-built,PRE_2022,T6,Named news (multiple),Named news (multiple),SECONDARY_VERIFIED,SECONDARY_VERIFIED,Defence optics; heavily oversubscribed
14,Nykaa (FSN E-Commerce Ventures),NYKAA,NSE+BSE,2021,,2021-10-30,2021-11-10,1125,2206,+96.1,Book-built,PRE_2022,T6,Named news (multiple),Named news (multiple),SECONDARY_VERIFIED,SECONDARY_VERIFIED,Beauty e-commerce; retail sub ~12.2x QIB ~92x
15,Sigachi Industries Ltd,SIGACHI,NSE+BSE,2021,,2021-11-03,2021-11-15,163,599,+267.2,Book-built,PRE_2022,T6,Named news (multiple),Named news (multiple),SECONDARY_VERIFIED,SECONDARY_VERIFIED,Excipients manufacturer; highest 2021 gain; retail sub ~28.7x
16,One 97 Communications (Paytm),PAYTM,NSE+BSE,2021,,2021-11-10,2021-11-18,2150,1564,-27.4,Book-built,PRE_2022,T6,Named news (multiple),Named news (multiple),SECONDARY_VERIFIED,SECONDARY_VERIFIED,Largest Indian IPO at time; biggest listing loss of 2021; retail sub ~1.7x only
17,Latent View Analytics,LATENTVIEW,NSE+BSE,2021,,2021-11-12,2021-11-23,197,488,+148.1,Book-built,PRE_2022,T6,Named news (multiple),Named news (multiple),SECONDARY_VERIFIED,SECONDARY_VERIFIED,Data analytics; heavily oversubscribed
18,Go Fashion (India) Ltd,GOCOLORS,NSE+BSE,2021,,2021-11-23,2021-11-30,690,1264,+83.2,Book-built,PRE_2022,T6,Named news,Named news,SECONDARY_VERIFIED,SECONDARY_VERIFIED,Women's apparel; strong debut
19,Supriya Lifescience Ltd,SUPRIYA,NSE+BSE,2021,,2021-12-17,2021-12-22,274,390,+42.3,Book-built,PRE_2022,T6,Named news,Named news,SECONDARY_VERIFIED,SECONDARY_VERIFIED,
20,Metro Brands Ltd,METROBRAND,NSE+BSE,2021,,2021-12-17,2021-12-22,500,493,-1.4,Book-built,PRE_2022,T6,Named news (multiple),Named news (multiple),SECONDARY_VERIFIED,SECONDARY_VERIFIED,Footwear retail; near-flat debut
21,Shriram Properties Ltd,SHRIRAMPPS,NSE+BSE,2021,,2021-12-14,2021-12-20,118,100,-15.3,Book-built,PRE_2022,T6,Named news (multiple),Named news (multiple),SECONDARY_VERIFIED,SECONDARY_VERIFIED,Real estate developer; listing loss
22,Medplus Health Services,MEDPLUS,NSE+BSE,2021,,2021-12-14,2021-12-23,796,1121,+40.8,Book-built,PRE_2022,T6,Named news,Named news,SECONDARY_VERIFIED,SECONDARY_VERIFIED,Pharmacy chain
23,CMS Info Systems Ltd,CMSINFO,NSE+BSE,2021,,2021-12-23,2021-12-31,216,238,+10.2,Book-built,PRE_2022,T6,Named news,Named news,SECONDARY_VERIFIED,SECONDARY_VERIFIED,Cash management services
